nohup: ignoring input
{'性能故障': 0, '部件故障': 1, '检测工具': 2, '组成': 3, '没关系': 4}
Some weights of the model checkpoint at ./model_hub/chinese-bert-wwm-ext/ were not used when initializing BertModel: ['cls.predictions.transform.dense.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
/root/miniconda3/lib/python3.8/site-packages/transformers/optimization.py:391: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
【train】1/5 114/3340 loss:0.8001050353050232
【train】1/5 115/3340 loss:0.536672055721283
【train】1/5 116/3340 loss:0.5332996249198914
【train】1/5 117/3340 loss:1.2125333547592163
【train】1/5 118/3340 loss:0.8745381832122803
【train】1/5 119/3340 loss:0.42697083950042725
【train】1/5 120/3340 loss:0.4313339293003082
【train】1/5 121/3340 loss:0.7678366303443909
【train】1/5 122/3340 loss:0.39694830775260925
【train】1/5 123/3340 loss:1.0280364751815796
【train】1/5 124/3340 loss:1.0991672277450562
【train】1/5 125/3340 loss:0.8213759064674377
【train】1/5 126/3340 loss:0.35561370849609375
【train】1/5 127/3340 loss:0.3569236993789673
【train】1/5 128/3340 loss:0.48013177514076233
【train】1/5 129/3340 loss:1.392252802848816
【train】1/5 130/3340 loss:0.7575984597206116
【train】1/5 131/3340 loss:1.2925020456314087
【train】1/5 132/3340 loss:1.1170997619628906
【train】1/5 133/3340 loss:0.5250726342201233
【train】1/5 134/3340 loss:1.328325867652893
【train】1/5 135/3340 loss:1.120315432548523
【train】1/5 136/3340 loss:0.6985768675804138
【train】1/5 137/3340 loss:0.9416711926460266
【train】1/5 138/3340 loss:0.7211554050445557
【train】1/5 139/3340 loss:1.156736969947815
【train】1/5 140/3340 loss:0.9524364471435547
【train】1/5 141/3340 loss:0.9520065188407898
【train】1/5 142/3340 loss:1.0999200344085693
【train】1/5 143/3340 loss:1.2711154222488403
【train】1/5 144/3340 loss:0.6885547041893005
【train】1/5 145/3340 loss:1.0496312379837036
【train】1/5 146/3340 loss:0.7073994278907776
【train】1/5 147/3340 loss:1.0206323862075806
【train】1/5 148/3340 loss:0.8921223282814026
【train】1/5 149/3340 loss:0.6106335520744324
【train】1/5 150/3340 loss:0.6170733571052551
【train】1/5 151/3340 loss:1.0671374797821045
【train】1/5 152/3340 loss:0.5575722455978394
【train】1/5 153/3340 loss:0.30739322304725647
【train】1/5 154/3340 loss:1.5153297185897827
【train】1/5 155/3340 loss:1.1686975955963135
【train】1/5 156/3340 loss:0.9278516173362732
【train】1/5 157/3340 loss:0.8296258449554443
【train】1/5 158/3340 loss:1.1565042734146118
【train】1/5 159/3340 loss:0.6513119339942932
【train】1/5 160/3340 loss:1.2656866312026978
【train】1/5 161/3340 loss:0.7017000317573547
【train】1/5 162/3340 loss:0.7524938583374023
【train】1/5 163/3340 loss:0.8019001483917236
【train】1/5 164/3340 loss:1.4670391082763672
【train】1/5 165/3340 loss:0.8742682337760925
【train】1/5 166/3340 loss:0.6331912875175476
【train】1/5 167/3340 loss:0.5358362793922424
【train】1/5 168/3340 loss:0.7444291114807129
【train】1/5 169/3340 loss:0.6257439255714417
【train】1/5 170/3340 loss:1.128943681716919
【train】1/5 171/3340 loss:0.7460741996765137
【train】1/5 172/3340 loss:1.1998358964920044
【train】1/5 173/3340 loss:0.9771236777305603
【train】1/5 174/3340 loss:0.9825816750526428
【train】1/5 175/3340 loss:0.816070556640625
【train】1/5 176/3340 loss:0.6794713139533997
【train】1/5 177/3340 loss:1.0052086114883423
【train】1/5 178/3340 loss:0.642586886882782
【train】1/5 179/3340 loss:1.3028552532196045
【train】1/5 180/3340 loss:1.048181176185608
【train】1/5 181/3340 loss:0.6891379952430725
【train】1/5 182/3340 loss:0.8861746788024902
【train】1/5 183/3340 loss:0.5720764994621277
【train】1/5 184/3340 loss:0.9960582852363586
【train】1/5 185/3340 loss:0.8015346527099609
【train】1/5 186/3340 loss:1.0376192331314087
【train】1/5 187/3340 loss:0.7638740539550781
【train】1/5 188/3340 loss:0.6393064260482788
【train】1/5 189/3340 loss:0.7924323678016663
【train】1/5 190/3340 loss:0.6257717609405518
【train】1/5 191/3340 loss:0.5474538803100586
【train】1/5 192/3340 loss:1.0952495336532593
【train】1/5 193/3340 loss:0.815589189529419
【train】1/5 194/3340 loss:0.8605135083198547
【train】1/5 195/3340 loss:0.4195932149887085
【train】1/5 196/3340 loss:0.6845929026603699
【train】1/5 197/3340 loss:1.0370599031448364
【train】1/5 198/3340 loss:1.3541611433029175
【train】1/5 199/3340 loss:0.9731012582778931
【train】1/5 200/3340 loss:0.6994965076446533
【train】1/5 201/3340 loss:1.201528787612915
【train】1/5 202/3340 loss:1.2634304761886597
【train】1/5 203/3340 loss:0.6343608498573303
【train】1/5 204/3340 loss:0.7671878337860107
【train】1/5 205/3340 loss:0.7942276000976562
【train】1/5 206/3340 loss:0.8657455444335938
【train】1/5 207/3340 loss:0.5944474935531616
【train】1/5 208/3340 loss:0.4771841764450073
【train】1/5 209/3340 loss:1.3172969818115234
【train】1/5 210/3340 loss:0.5607709884643555
【train】1/5 211/3340 loss:0.903512179851532
【train】1/5 212/3340 loss:0.9153447151184082
【train】1/5 213/3340 loss:0.659990131855011
